
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:19:11 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
23-AUG-14      30218	   3219
26-AUG-14	1031	     47
25-AUG-14	1031	     75
27-AUG-14      30218	   2319
05-SEP-14	1031	     43

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
08-SEP-14      30218	  14673
09-SEP-14      30218	  10475
21-AUG-14      30218	   2814
05-SEP-14      30219	    588
06-SEP-14	3000	    210
09-SEP-14      30219	    496
14-AUG-14      30728	    361
31-AUG-14      30219	    196
11-SEP-14      30219	    507
02-SEP-14	3000	     70
03-SEP-14      30219	    601

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-AUG-14      10815	    758
21-AUG-14      10815	   1063
26-AUG-14      10815	   1396
25-AUG-14	1003	      6
20-AUG-14	3000	    117
24-AUG-14	3000	    100
04-SEP-14      30219	    617
12-SEP-14      30218	   2292
17-SEP-14      30203	      1
26-SEP-14      10815	    895
26-SEP-14      30218	    985

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
29-SEP-14      30203	    430
30-SEP-14      30203	   2742
29-SEP-14      10815	   1356
01-OCT-14      30219	    430
30-SEP-14	1003	      7
04-OCT-14      30728	   2022
03-OCT-14      10815	   2486
04-OCT-14      30218	   1473
05-OCT-14      30218	   1961
08-OCT-14      30203	    894
07-OCT-14      30219	    483

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
09-OCT-14      30219	    321
09-OCT-14	1003	     67
10-SEP-14	3000	    116
21-SEP-14	3000	     65
22-SEP-14      30728	    611
06-OCT-14      10040	    114
12-SEP-14      10815	   1297
13-SEP-14      10815	   1162
01-OCT-14	1003	      5
14-SEP-14	1003	     11
21-AUG-14	3000	    100

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-AUG-14      30728	    382
30-AUG-14	1000	      1
08-OCT-14	1031	      5
11-AUG-14	1012	     36
12-AUG-14	1003	      5
29-AUG-14	1012	     29
03-SEP-14	1012	     14
12-SEP-14	1012	     16
15-SEP-14	1012	     30
19-SEP-14	1012	     13
18-SEP-14	1012	     29

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
06-SEP-14	1003	      2
26-SEP-14	1012	     19
25-SEP-14	1012	     24
05-OCT-14	1012	     21
25-SEP-14	1031	      1
11-AUG-14      10036	 245468
28-AUG-14      10036	  98826
14-SEP-14      10036	 107069
09-OCT-14      10036	  40939

614 rows selected.

Disconnected from Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options
